title
(주)광주글로벌모터스 AI역량검사 지원부스 운영<7.26(월)~7.27(화)>
"(주)광주글로벌모터스 채용설명 취업특강<7.23(금), 7.26(월)> 운영 안내"
광주지방고용노동청 기업지원과 카카오톡 채널 개설 안내
구인구직만남의날 안내['21. 7. 8(목) 14시]-(주)진양산업
2021년도 광주지방고용노동청 채용박람회 운영 기관 모집 공고
고용유지지원금·고용장려금 부정수급 자진신고기간 운영 알림('21.6.21.-'21.7.30.)
구인구직만남의날 안내['21. 6.24(목) 11시]-현승엘이베이터(주)
[국민취업지원제도] 손에 손잡고~ 국취 이벤트 팡팡!!
「2021년 청년 추가고용 장려금 지원사업」신규 지원신청 마감 안내
2021년 제3차 재택근무 종합 컨설팅 지원 사업장 모집 안내
「2021년 청년 추가고용 장려금 지원사업」신규 지원신청 마감 안내
2021년 특별고용촉진장려금 지원제도 안내
알아두면 유용한 사업주와 근로자의 세제지원 제도
『4차 긴급고용안정지원금【특고·프리랜서 고용안정지원금】』시행 공고
광주글로벌모터스 '21년 3차 기술(생산)직 및 장애인 신입사원 채용설명 단기집단상담 프로그램 안내
광주글로벌모터스 '21년 3차 기술(생산)직 및 장애인 신입사원 AI역량검사 지원부스 운영
【공고】대학일자리플러스센터 사업 운영대학 모집
(안내)(주)광주글로벌모터스 채용설명 및 AI역량검사 특강〕일반직 신입사원 채용
수급자격 인터넷 신청 서비스 오픈 알림
【공고】2021년 중소기업탐방사업 운영기관 모집
『3차 긴급고용안정지원금【특고·프리랜서 고용안정지원금】』시행 공고
"(마감안내)광주고용복지플러스센터에서 진행하는(주)광주글로벌모터스 (주)취업특강, AI역량검사 마감"
(홍보)【(주)광주글로벌모터스 기술직 신입사원 채용설명 및 AI역량검사 취업특강 실시】
(홍보)【(주)광주글로벌모터스 AI 역량검사 지원 부스 운영】
2021년 국민취업지원제도 일경험프로그램 운영기관 모집공고 (재공고)
2021년도「구직자취업역량강화 및 심리안정지원프로그램」 위탁사업 우선협상대상자 선정결과
2021년 구직자취업역량강화프로그램 운영기관 모집 재공고
2021년 심리안정지원프로그램 운영기관 모집 재공고
【(주)광주글로벌모터스 AI 역량검사 지원 부스 운영】
2021년도 국민취업지원제도 민간위탁사업자 모집공고
2021년 구직자취업역량강화프로그램 운영기관 모집 공고
2021년 심리안정지원 프로그램 운영기관 모집 공고
2020년 신중년 경력형 일자리 사업 하반기 통합공고(수정)
"구인구직만남의 날 안내 [2020.10.15.(목) 오전10시, (주)COS 회의실]"
"구인구직만남의 날 안내 [2020.10.13(화) 오후 1시, (주)에이스원 회의실]"
청년추가고용장려금 예산소진관련 안내
『2차 긴급고용안정지원금【특고·프리랜서 고용안정지원금】』시행 공고
기간제근로자(고용서비스 및 고용센터 행정지원) 모집 공고
고용촉진지원금 기 지급금 회수 처분 사전통지 및 의견제출 안내 공시송달(중부지방고용노동청 경기지청)
2020년 청년 디지털 일자리 사업 및 청년 일경험지원사업 안내
광주광역시 방역조치 강화에 따른 고용유지지원금 안내
고용유지지원금 부정수급 자진신고기간 운영
"""2020년 청년추가고용 장려금 지원사업"" 신규 지원신청 마감 안내"
광주지방고용노동청 대체인력뱅크 인력풀 모집공고
2020 코로나19 고용유지지원금 신청지원사업 운영 안내[한국광산업진흥회]
코로나 19 긴급 고용안정 지원금 시행 공고
광주지방고용노동청 기간제근로자(긴급고용안정지원금 지급 지원 인력) 채용공고(변경)
고용유지지원금 내방 접수 및 상담 안내
광주지방고용노동청 대체인력뱅크 인력풀 모집공고
광주지방고용노동청 기간제근로자(고용서비스 행정지원) 채용공고
<코로나-19관련 안내> 코로나-19 관련 실업급여 안내책자
광주지방고용노동청 대체인력뱅크 인력풀 모집공고
